$ create owner-only Fedora proof workspace
PASS
$ generate harness; bash -n validates all emitted scripts
generated_scripts=3
bash_n=pass
$ start watcher, require 30 samples plus live PID, then request proof stop
samples=31
first_monotonic=142424.14
thirtieth_monotonic=142453.25
elapsed_first_to_thirtieth=29.11
live_after_30=pass
fields_per_row=39
fedora_state_before=docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	0	false
fedora_state_after=docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	0	false
rollback_invoked=no
selector_mutated=no
credential_used=no
request_sent=no
health_liveliness=200
health_readiness=200
$ sanitized allowlisted rows
utc	mono	phase	container_id	started_at	configured_image	runtime_image	exit_code	memory_current	memory_peak	cgroup_swap	cgroup_oom	cgroup_oom_kill	mem_available	host_swap	psi_full_avg10	pids	cpu_usage_usec	restarts	oom_killed	health	rss	anonymous	private_dirty	threads	fds	sockets	postgres_connections	redis_clients	redis_blocked	disk_available	disk_used_percent	dependencies_digest	protected_state	liveliness	readiness	kernel_oom	request_state	control
2026-09-04T20:27:20Z	142434.16	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2086092800	2406821888	0	0	0	78931632128	0	0.00	48	1623373304	0	false	healthy	2144509952	2076180480	2076180480	48	75	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:21Z	142435.17	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084810752	2406821888	0	0	0	78913134592	0	0.00	48	1623455118	0	false	healthy	2144509952	2076180480	2076180480	48	77	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:22Z	142436.17	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084528128	2406821888	0	0	0	78898184192	0	0.00	48	1623550663	0	false	healthy	2144509952	2076180480	2076180480	48	77	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:23Z	142437.17	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2085101568	2406821888	0	0	0	78968401920	0	0.00	48	1623682423	0	false	healthy	2144509952	2076180480	2076180480	48	76	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:24Z	142438.21	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084544512	2406821888	0	0	0	78893535232	0	0.00	48	1623772805	0	false	healthy	2144509952	2076180480	2076180480	48	74	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:25Z	142439.21	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084487168	2406821888	0	0	0	78559965184	0	0.00	48	1623834838	0	false	healthy	2144509952	2076180480	2076180480	48	75	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:26Z	142440.24	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084892672	2406821888	0	0	0	78373822464	0	0.00	48	1623926238	0	false	healthy	2144509952	2076180480	2076180480	48	77	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:27Z	142441.19	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084642816	2406821888	0	0	0	78367637504	0	0.00	48	1624011399	0	false	healthy	2144509952	2076180480	2076180480	48	77	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:28Z	142442.21	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084036608	2406821888	0	0	0	78313398272	0	0.00	48	1624047248	0	false	healthy	2144509952	2076180480	2076180480	48	77	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:29Z	142443.22	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084642816	2406821888	0	0	0	78285041664	0	0.00	48	1624117206	0	false	healthy	2144509952	2076180480	2076180480	48	75	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
